Recency,Frequency,Monetary,Cluster,Segment
75,4,1797.24,0,High Value Customers
19,1,1757.55,1,Regular Customers
310,1,334.4,2,At-Risk Customers
36,8,2506.04,0,High Value Customers
204,1,89.0,2,At-Risk Customers
232,1,1079.4,2,At-Risk Customers
214,1,459.4,2,At-Risk Customers
23,3,2811.43,0,High Value Customers
2,2,1168.06,1,Regular Customers
52,3,2662.06,0,High Value Customers
287,1,189.9,2,At-Risk Customers
110,2,552.0,1,Regular Customers
8,4,1313.1,0,High Value Customers
291,2,641.38,2,At-Risk Customers
4,1,168.9,1,Regular Customers
45,2,1887.96,0,High Value Customers
72,3,1298.04,1,Regular Customers
311,1,364.6,2,At-Risk Customers
25,1,742.9300000000001,1,Regular Customers
11,2,457.5,1,Regular Customers
315,2,1628.12,2,At-Risk Customers
82,2,852.24,1,Regular Customers
22,4,2724.81,0,High Value Customers
5,5,1845.31,0,High Value Customers
185,5,1850.56,0,High Value Customers
29,2,585.27,1,Regular Customers
16,6,2780.66,0,High Value Customers
80,1,549.84,1,Regular Customers
22,1,460.89,1,Regular Customers
72,4,1582.6000000000001,0,High Value Customers
64,2,1272.48,1,Regular Customers
36,2,2409.9,0,High Value Customers
46,1,1635.6599999999999,1,Regular Customers
119,4,1108.65,1,Regular Customers
303,1,84.3,2,At-Risk Customers
323,1,225.6,2,At-Risk Customers
50,1,427.7,1,Regular Customers
149,1,1710.39,1,Regular Customers
50,5,1708.1200000000001,0,High Value Customers
33,5,2888.55,0,High Value Customers
309,2,693.3299999999999,2,At-Risk Customers
75,3,1226.88,1,Regular Customers
67,3,758.1,1,Regular Customers
217,3,562.41,2,At-Risk Customers
113,1,668.58,1,Regular Customers
64,1,600.39,1,Regular Customers
16,4,807.04,1,Regular Customers
96,3,803.5600000000001,1,Regular Customers
1,8,1859.31,0,High Value Customers
163,2,1760.96,2,At-Risk Customers
78,1,777.2,1,Regular Customers
195,1,582.73,2,At-Risk Customers
22,3,825.8,1,Regular Customers
43,1,256.4,1,Regular Customers
85,2,806.14,1,Regular Customers
100,1,509.01,1,Regular Customers
14,2,2906.85,0,High Value Customers
3,1,172.06,1,Regular Customers
22,1,133.4,1,Regular Customers
58,1,1002.3100000000001,1,Regular Customers
243,1,476.49,2,At-Risk Customers
44,1,449.45,1,Regular Customers
156,2,197.88,2,At-Risk Customers
17,2,430.57,1,Regular Customers
134,1,707.09,1,Regular Customers
73,6,2466.86,0,High Value Customers
66,7,2363.23,0,High Value Customers
71,2,947.4,1,Regular Customers
94,2,826.88,1,Regular Customers
19,2,1189.59,1,Regular Customers
53,4,1344.78,0,High Value Customers
10,8,1212.05,0,High Value Customers
17,2,742.1899999999999,1,Regular Customers
188,2,729.5400000000001,2,At-Risk Customers
54,1,723.38,1,Regular Customers
4,1,680.99,1,Regular Customers
11,1,527.2,1,Regular Customers
17,8,2484.98,0,High Value Customers
10,3,1298.66,1,Regular Customers
39,1,460.40000000000003,1,Regular Customers
63,2,263.21000000000004,1,Regular Customers
166,2,433.74,2,At-Risk Customers
16,7,1246.1000000000001,0,High Value Customers
82,1,1043.1,1,Regular Customers
21,3,403.70000000000005,1,Regular Customers
18,2,482.04999999999995,1,Regular Customers
233,1,73.5,2,At-Risk Customers
134,3,1304.81,1,Regular Customers
26,2,398.27,1,Regular Customers
284,1,176.5,2,At-Risk Customers
143,2,982.5699999999999,1,Regular Customers
66,2,138.03,1,Regular Customers
113,1,612.29,1,Regular Customers
267,1,1017.68,2,At-Risk Customers
78,2,1312.06,1,Regular Customers
28,5,2502.84,0,High Value Customers
1,5,2056.89,0,High Value Customers
64,1,340.84,1,Regular Customers
79,5,2634.26,0,High Value Customers
143,1,599.68,2,At-Risk Customers
39,2,192.72,1,Regular Customers
19,11,1789.77,0,High Value Customers
1,3,1316.66,1,Regular Customers
82,3,348.71000000000004,1,Regular Customers
9,6,1933.48,0,High Value Customers
60,4,1662.28,0,High Value Customers
15,1,125.22,1,Regular Customers
30,1,349.83000000000004,1,Regular Customers
131,1,1089.18,1,Regular Customers
92,2,716.35,1,Regular Customers
29,1,363.95,1,Regular Customers
30,3,981.18,1,Regular Customers
36,1,372.7,1,Regular Customers
75,2,1000.39,1,Regular Customers
47,2,1161.5,1,Regular Customers
198,2,207.79999999999998,2,At-Risk Customers
166,1,95.19999999999999,2,At-Risk Customers
79,1,964.83,1,Regular Customers
39,2,437.82,1,Regular Customers
50,2,603.71,1,Regular Customers
8,1,269.96,1,Regular Customers
311,2,561.71,2,At-Risk Customers
5,3,2134.01,0,High Value Customers
303,1,238.85,2,At-Risk Customers
261,1,456.9,2,At-Risk Customers
289,1,145.92,2,At-Risk Customers
86,1,351.65,1,Regular Customers
40,2,519.61,1,Regular Customers
9,2,1020.42,1,Regular Customers
227,1,160.54000000000002,2,At-Risk Customers
316,1,218.45,2,At-Risk Customers
36,5,1315.83,0,High Value Customers
35,3,657.8,1,Regular Customers
21,2,2794.51,0,High Value Customers
78,1,440.42,1,Regular Customers
247,1,415.7,2,At-Risk Customers
40,1,197.71,1,Regular Customers
239,2,511.36,2,At-Risk Customers
4,9,2338.15,0,High Value Customers
234,2,2040.1,2,At-Risk Customers
17,1,196.94000000000003,1,Regular Customers
8,1,144.0,1,Regular Customers
39,1,214.89999999999998,1,Regular Customers
29,2,646.68,1,Regular Customers
317,1,452.84999999999997,2,At-Risk Customers
92,2,437.6,1,Regular Customers
109,3,418.09999999999997,1,Regular Customers
51,2,618.27,1,Regular Customers
10,8,3023.08,0,High Value Customers
29,7,1032.58,0,High Value Customers
29,10,2599.04,0,High Value Customers
190,5,577.0600000000001,2,At-Risk Customers
59,1,153.12,1,Regular Customers
22,1,739.1999999999999,1,Regular Customers
79,2,254.18,1,Regular Customers
60,1,1579.51,1,Regular Customers
78,3,1126.85,1,Regular Customers
23,5,2099.54,0,High Value Customers
52,1,1193.32,1,Regular Customers
74,1,704.0400000000001,1,Regular Customers
278,1,315.6,2,At-Risk Customers
2,4,2291.19,0,High Value Customers
95,2,713.3,1,Regular Customers
29,1,355.53,1,Regular Customers
22,1,177.31,1,Regular Customers
15,3,1339.41,1,Regular Customers
232,1,180.1,2,At-Risk Customers
276,1,305.1,2,At-Risk Customers
106,2,641.13,1,Regular Customers
212,2,2683.82,0,High Value Customers
4,3,786.46,1,Regular Customers
10,2,1270.88,1,Regular Customers
57,1,640.5,1,Regular Customers
59,4,2163.98,0,High Value Customers
90,2,1689.18,1,Regular Customers
33,1,671.69,1,Regular Customers
239,1,486.1,2,At-Risk Customers
24,3,1174.58,1,Regular Customers
115,1,185.9,1,Regular Customers
25,3,1013.26,1,Regular Customers
130,1,477.91,1,Regular Customers
34,4,1775.18,0,High Value Customers
5,2,1346.97,1,Regular Customers
155,1,318.05,2,At-Risk Customers
107,3,623.51,1,Regular Customers
3,1,314.44,1,Regular Customers
149,2,2209.85,0,High Value Customers
11,5,601.98,1,Regular Customers
11,4,1643.18,0,High Value Customers
19,1,686.05,1,Regular Customers
30,1,91.68,1,Regular Customers
11,1,245.1,1,Regular Customers
325,1,63.0,2,At-Risk Customers
58,1,620.13,1,Regular Customers
151,3,2744.0299999999997,0,High Value Customers
10,5,2996.05,0,High Value Customers
5,2,610.52,1,Regular Customers
39,4,1970.6,0,High Value Customers
25,6,1331.39,0,High Value Customers
59,4,1113.02,1,Regular Customers
1,4,862.81,1,Regular Customers
8,7,2283.63,0,High Value Customers
28,6,2863.08,0,High Value Customers
26,2,1247.61,1,Regular Customers
206,1,389.01,2,At-Risk Customers
28,6,1035.8,0,High Value Customers
127,4,855.91,1,Regular Customers
70,2,869.67,1,Regular Customers
7,4,582.1,1,Regular Customers
29,3,957.59,1,Regular Customers
80,2,797.71,1,Regular Customers
20,1,219.0,1,Regular Customers
71,1,283.55,1,Regular Customers
7,8,2340.84,0,High Value Customers
292,1,603.42,2,At-Risk Customers
30,10,2712.91,0,High Value Customers
97,3,1149.02,1,Regular Customers
1,1,848.55,1,Regular Customers
106,1,353.86,1,Regular Customers
4,2,1053.49,1,Regular Customers
151,2,1030.98,2,At-Risk Customers
71,1,238.25,1,Regular Customers
5,2,644.95,1,Regular Customers
32,6,2656.13,0,High Value Customers
85,4,997.63,1,Regular Customers
4,5,725.07,1,Regular Customers
5,4,1031.41,1,Regular Customers
28,7,2609.1,0,High Value Customers
71,4,836.33,1,Regular Customers
114,1,453.01,1,Regular Customers
180,1,236.26000000000002,2,At-Risk Customers
234,1,383.95,2,At-Risk Customers
315,2,779.5699999999999,2,At-Risk Customers
78,2,1013.04,1,Regular Customers
64,1,427.6,1,Regular Customers
134,2,546.43,1,Regular Customers
129,1,275.88,1,Regular Customers
236,3,3010.74,0,High Value Customers
87,1,112.07999999999998,1,Regular Customers
117,2,2791.59,0,High Value Customers
52,3,1531.44,0,High Value Customers
8,2,1898.52,0,High Value Customers
138,2,494.08,1,Regular Customers
317,1,1693.88,2,At-Risk Customers
239,1,1143.6,2,At-Risk Customers
211,1,1351.45,2,At-Risk Customers
60,1,892.47,1,Regular Customers
17,5,1386.04,0,High Value Customers
20,6,822.23,0,High Value Customers
64,2,826.74,1,Regular Customers
5,5,2330.92,0,High Value Customers
2,6,2225.91,0,High Value Customers
9,2,574.42,1,Regular Customers
10,3,463.66,1,Regular Customers
65,1,91.85,1,Regular Customers
192,1,324.92,2,At-Risk Customers
257,1,400.53999999999996,2,At-Risk Customers
53,2,860.41,1,Regular Customers
19,1,430.48,1,Regular Customers
187,1,427.58,2,At-Risk Customers
37,3,483.65000000000003,1,Regular Customers
178,1,489.31,2,At-Risk Customers
261,3,514.85,2,At-Risk Customers
45,1,229.64000000000001,1,Regular Customers
102,1,125.92,1,Regular Customers
148,2,1063.46,1,Regular Customers
96,2,572.2,1,Regular Customers
281,1,166.04,2,At-Risk Customers
262,1,1542.08,2,At-Risk Customers
3,4,942.34,1,Regular Customers
214,1,92.72,2,At-Risk Customers
71,2,948.88,1,Regular Customers
75,5,1759.5,0,High Value Customers
60,1,397.12,1,Regular Customers
3,7,1474.72,0,High Value Customers
6,3,430.15000000000003,1,Regular Customers
3,6,1018.71,0,High Value Customers
262,1,215.05,2,At-Risk Customers
32,2,383.03,1,Regular Customers
145,1,417.38,2,At-Risk Customers
283,1,312.38,2,At-Risk Customers
59,4,2612.86,0,High Value Customers
173,1,134.1,2,At-Risk Customers
34,2,683.13,1,Regular Customers
144,4,2726.77,0,High Value Customers
70,2,1118.99,1,Regular Customers
66,8,1702.26,0,High Value Customers
29,2,325.96000000000004,1,Regular Customers
267,4,354.09,2,At-Risk Customers
22,1,871.54,1,Regular Customers
31,2,1050.8899999999999,1,Regular Customers
97,1,135.18,1,Regular Customers
295,1,311.55,2,At-Risk Customers
135,6,1957.1000000000001,0,High Value Customers
79,3,1324.5,1,Regular Customers
8,6,2179.93,0,High Value Customers
211,2,1106.4,2,At-Risk Customers
52,1,521.2,1,Regular Customers
138,1,147.12,2,At-Risk Customers
26,2,1568.23,1,Regular Customers
283,1,559.12,2,At-Risk Customers
186,6,1607.0600000000002,0,High Value Customers
84,2,380.64,1,Regular Customers
327,2,599.97,2,At-Risk Customers
282,1,374.0,2,At-Risk Customers
143,2,343.2300000000001,2,At-Risk Customers
58,2,2218.02,0,High Value Customers
236,2,854.99,2,At-Risk Customers
45,3,573.22,1,Regular Customers
276,1,298.0,2,At-Risk Customers
9,2,1463.04,1,Regular Customers
25,4,703.47,1,Regular Customers
88,1,309.05,1,Regular Customers
63,3,1175.22,1,Regular Customers
68,2,1378.4,1,Regular Customers
214,2,354.12,2,At-Risk Customers
24,1,380.46999999999997,1,Regular Customers
186,3,331.0,2,At-Risk Customers
31,1,188.14,1,Regular Customers
42,2,372.8,1,Regular Customers
205,2,216.5,2,At-Risk Customers
265,1,138.68,2,At-Risk Customers
18,2,509.58,1,Regular Customers
12,5,2919.81,0,High Value Customers
176,2,750.0,2,At-Risk Customers
40,5,2178.67,0,High Value Customers
3,5,1662.3,0,High Value Customers
5,5,2483.63,0,High Value Customers
149,2,363.65,2,At-Risk Customers
139,4,3006.15,0,High Value Customers
128,1,594.0,1,Regular Customers
8,6,1335.19,0,High Value Customers
17,1,164.23,1,Regular Customers
161,1,405.38,2,At-Risk Customers
64,1,176.97,1,Regular Customers
88,4,933.7,1,Regular Customers
5,2,694.05,1,Regular Customers
35,5,2062.7000000000003,0,High Value Customers
312,1,117.85,2,At-Risk Customers
78,2,415.8,1,Regular Customers
24,3,607.53,1,Regular Customers
2,7,2160.7,0,High Value Customers
17,4,1063.9,1,Regular Customers
15,4,1504.27,0,High Value Customers
26,1,114.14,1,Regular Customers
55,2,913.54,1,Regular Customers
131,3,683.9,1,Regular Customers
36,2,604.51,1,Regular Customers
288,1,462.95,2,At-Risk Customers
144,6,1603.99,0,High Value Customers
16,7,2064.95,0,High Value Customers
2,3,1843.0,0,High Value Customers
9,6,1064.07,0,High Value Customers
6,4,1387.79,0,High Value Customers
10,1,329.85,1,Regular Customers
306,1,108.07,2,At-Risk Customers
7,2,266.39,1,Regular Customers
8,8,1856.63,0,High Value Customers
89,1,771.91,1,Regular Customers
10,1,160.18,1,Regular Customers
112,1,135.95,1,Regular Customers
7,4,452.24,1,Regular Customers
198,1,144.8,2,At-Risk Customers
212,1,738.6,2,At-Risk Customers
156,1,39.239999999999995,2,At-Risk Customers
30,2,372.21999999999997,1,Regular Customers
243,1,390.54,2,At-Risk Customers
19,1,97.5,1,Regular Customers
1,2,1239.38,1,Regular Customers
74,2,558.7,1,Regular Customers
292,1,535.32,2,At-Risk Customers
31,3,409.5,1,Regular Customers
23,2,503.76,1,Regular Customers
23,4,414.76,1,Regular Customers
4,3,974.4200000000001,1,Regular Customers
85,1,211.32,1,Regular Customers
22,4,1226.89,0,High Value Customers
196,3,455.88,2,At-Risk Customers
107,3,534.85,1,Regular Customers
318,1,120.94999999999999,2,At-Risk Customers
106,3,149.05,1,Regular Customers
174,2,513.7,2,At-Risk Customers
56,1,81.57,1,Regular Customers
323,1,229.46999999999997,2,At-Risk Customers
9,8,1661.8400000000001,0,High Value Customers
73,3,789.89,1,Regular Customers
7,1,204.0,1,Regular Customers
4,9,2616.38,0,High Value Customers
64,2,689.9,1,Regular Customers
1,5,975.36,0,High Value Customers
23,2,661.3199999999999,1,Regular Customers
31,3,1247.5,1,Regular Customers
11,2,799.48,1,Regular Customers
52,2,1010.18,1,Regular Customers
55,2,642.77,1,Regular Customers
74,2,921.88,1,Regular Customers
138,3,881.07,1,Regular Customers
80,3,908.46,1,Regular Customers
9,2,676.99,1,Regular Customers
273,1,516.42,2,At-Risk Customers
291,1,560.47,2,At-Risk Customers
99,1,305.28000000000003,1,Regular Customers
31,2,629.31,1,Regular Customers
14,4,1835.91,0,High Value Customers
64,2,656.6800000000001,1,Regular Customers
212,1,348.15000000000003,2,At-Risk Customers
78,3,1214.41,1,Regular Customers
25,3,271.40000000000003,1,Regular Customers
250,1,183.4,2,At-Risk Customers
254,1,307.53,2,At-Risk Customers
72,1,248.61,1,Regular Customers
191,1,346.98,2,At-Risk Customers
